"ORDER_ID","ORDER_STATUS","STATUS_TIME"
"2237334",picked,2019-06-10 07:52:51
"2237415",picked,2019-06-10 07:53:59
"2235710",in_progress,2019-06-10 07:54:32
"2196242",picked,2019-06-10 07:54:45
"2237371",picked,2019-06-10 07:54:46
"2237377",picked,2019-06-10 07:56:01
"2235710",in_progress,2019-06-10 07:56:59
"2235660",packed,2019-06-10 08:00:01
"2235717",in_progress,2019-06-10 08:00:37
"2235717",in_progress,2019-06-10 08:02:49
"2234889",picked,2019-06-10 08:03:13
"2235698",in_dispatch_buffer,2019-06-10 08:07:09
"2237371",started_dispatch,2019-06-10 08:08:04
"2235710",picked,2019-06-10 08:08:49
"2234909",in_progress,2019-06-10 08:11:31
"2234909",in_progress,2019-06-10 08:11:54
"2236516",in_progress,2019-06-10 08:13:31
"2237438",in_progress,2019-06-10 08:13:43
"2236516",in_progress,2019-06-10 08:16:19
"2235698",packed,2019-06-10 08:18:52
"2235725",in_progress,2019-06-10 08:20:38
"2235717",picked,2019-06-10 08:21:33
"2235717",started_dispatch,2019-06-10 08:22:09
"2237334",started_dispatch,2019-06-10 08:22:24
"2237445",in_progress,2019-06-10 08:24:33
"2234917",in_progress,2019-06-10 08:26:31
"2237448",in_progress,2019-06-10 08:26:41
"2236531",in_progress,2019-06-10 08:30:38
"2234915",in_progress,2019-06-10 08:33:45
"2234917",in_progress,2019-06-10 08:34:06
"2236474",in_dispatch_buffer,2019-06-10 08:34:40
"2237458",in_progress,2019-06-10 08:39:32
"2234915",picked,2019-06-10 08:39:48
"2237448",in_progress,2019-06-10 08:40:15
"2236474",packed,2019-06-10 08:41:07
"2237458",in_progress,2019-06-10 08:42:10
"2237460",in_progress,2019-06-10 08:42:31
"2237448",picked,2019-06-10 08:51:29
"2237371",in_dispatch_buffer,2019-06-10 08:54:38
"2234889",started_dispatch,2019-06-10 08:56:00
"2237460",in_progress,2019-06-10 08:56:10
"2235749",in_progress,2019-06-10 08:57:31
"2237334",in_dispatch_buffer,2019-06-10 08:58:22
"2235749",in_progress,2019-06-10 08:59:40
"2237371",packed,2019-06-10 09:02:16
"2235717",in_dispatch_buffer,2019-06-10 09:03:16
"2237448",started_dispatch,2019-06-10 09:03:20
"2234889",in_dispatch_buffer,2019-06-10 09:04:17
"2237415",started_dispatch,2019-06-10 09:04:20
"2237460",picked,2019-06-10 09:04:33
"2237334",packed,2019-06-10 09:06:20
"2235717",packed,2019-06-10 09:07:22
"2235749",picked,2019-06-10 09:08:19
"2237448",in_dispatch_buffer,2019-06-10 09:08:28
"2234889",packed,2019-06-10 09:08:35
"2235749",started_dispatch,2019-06-10 09:08:36
"2236516",picked,2019-06-10 09:08:42
"2237460",started_dispatch,2019-06-10 09:08:45
"2234917",picked,2019-06-10 09:08:55
"2236516",started_dispatch,2019-06-10 09:09:00
"2236555",in_progress,2019-06-10 09:09:31
"2237448",packed,2019-06-10 09:10:00
"2237415",in_dispatch_buffer,2019-06-10 09:12:05
"2235749",in_dispatch_buffer,2019-06-10 09:12:40
"2234738",in_progress,2019-06-10 09:12:41
"2236516",in_dispatch_buffer,2019-06-10 09:12:54
"2234747",in_progress,2019-06-10 09:13:05
"2237460",in_dispatch_buffer,2019-06-10 09:13:07
"2237377",started_dispatch,2019-06-10 09:13:10
"2237415",packed,2019-06-10 09:13:20
"2236559",in_progress,2019-06-10 09:13:34
"2237460",packed,2019-06-10 09:15:05
"2234909",picked,2019-06-10 09:15:59
"2234750",in_progress,2019-06-10 09:16:00
"2234750",picked,2019-06-10 09:16:00
"2234761",in_progress,2019-06-10 09:16:01
"2234785",in_progress,2019-06-10 09:16:15
"2234794",in_progress,2019-06-10 09:16:31
"2237377",in_dispatch_buffer,2019-06-10 09:16:47
"2237458",picked,2019-06-10 09:17:13
"2234837",in_progress,2019-06-10 09:17:15
"2234876",in_progress,2019-06-10 09:18:44
"2237458",started_dispatch,2019-06-10 09:19:30
"2237377",packed,2019-06-10 09:20:42
"2234886",in_progress,2019-06-10 09:21:05
"2235768",in_progress,2019-06-10 09:21:31
"2234747",picked,2019-06-10 09:22:42
"2234785",picked,2019-06-10 09:23:27
"2234761",picked,2019-06-10 09:23:58
"2235749",packed,2019-06-10 09:24:55
"2236516",packed,2019-06-10 09:25:53
"2234738",picked,2019-06-10 09:26:31
"2234956",in_progress,2019-06-10 09:27:31
"2237458",in_dispatch_buffer,2019-06-10 09:27:41
"2234837",picked,2019-06-10 09:28:13
